acceptability,sentence,domain
1,"Mary sang a song, but Lee never did.",IN
0,"I like beer, me.",IN
0,What Henry find was Bill sad.,IN
0,John is easy to please and to love Mary.,IN
1,The bear sniffs,IN
0,My mother bore me in 1970.,IN
1,How suspicious was Mary?,IN
1,Jane left the book on the table.,IN
1,The river runs from the lake to the sea.,IN
0,The kennel in which Mary made and Fido sleeps has been stolen.,IN
0,John placed the flute the violin on the table.,IN
1,Which book by his father did he read?,IN
1,Carol cut at the bread.,IN
0,Did not Sue pass her exam?,IN
1,It is the main street.,IN
0,The student met John came.,IN
1,Who is it that Mary likes?,IN
1,The captain sank the boat with a torpedo.,IN
0,He can can go,IN
1,John tries to be honest.,IN
1,Gilgamesh cut the steak with a knife.,IN
1,Free enterprise is compatible with American values and traditions.,IN
1,Whether Agamemnon had triumphed was unknown.,IN
1,It was the man that bought the articles from him.,IN
1,You British or you Americans will get yourselves in trouble.,IN
1,Mary would easily solve the problem.,IN
0,This girl in the red coat will put a picture of Bill on your desk there before tomorrow.,IN
0,In the garden stand a statue.,IN
0,"Pat wanted to go to Berne, and Chris going to Rome.",IN
1,Historians believe FDR to be our most effective president.,IN
1,John believes that Bill has slept.,IN
0,John bought any picture of Queen Elizabeth.,IN
1,I said that she runs.,IN
1,Martha carved beautiful toys out of this wood.,IN
1,Bill visited Mary.,IN
1,Daniel received a scolding from Hanna.,IN
1,I liked Mary.,IN
1,Louis hinted Mary stole the purse deftly.,IN
0,Me gave it to him.,IN
1,The war intensified the poverty.,IN
0,Any of the citizens hardly ever say anything.,IN
1,Bill can well imagine getting fat.,IN
1,Around midnight I promised that he would be there.,IN
0,Sincerity examined a book.,IN
1,He seems intelligent to study medicine.,IN
1,That the fuzz wanted him worried John but it didn't worry Mary.,IN
1,The tub leaked empty of water.,IN
0,Jason asked whether that the potion was ready,IN
1,For Aphrodite to appear to be happy would be impossible.,IN
0,There tried to be intelligent.,IN
1,Gwen looked at a fire truck.,IN
0,Volunteers praise easily.,IN
1,Calvin has dated every girl who Jeff has dated.,IN
0,We expect the dentist to examine ourselves.,IN
1,The thief stole the painting for Mr. Smith.,IN
1,Who can put the book in the box?,IN
1,Ellen warned Helen about the traffic jam.,IN
0,The man who Mary loves and Sally hates George computed my tax.,IN
1,No one suspects that he is a fool.,IN
1,In the aquarium there swam a striped fish.,IN
0,The defendant denied.,IN
1,Bill kissed himself.,IN
1,Sandra hates reading about herself in the tabloids.,IN
1,Every picture of itself arrived.,IN
1,"The ice melts, breaks.",IN
0,The hospital was donated the book to.,IN
1,Gabrielle's mother is an axe murderer.,IN
1,The recession cost my grandfather a raise.,IN
1,The soup had been being eaten when it got spilled.,IN
0,That gets you so involved is the writer.,IN
1,Fred gave flowers to his sweetie because Frank had.,IN
1,The tree changed into an oak.,IN
1,He looked up the number.,IN
1,I put the book in the box.,IN
1,He figured Ann out.,IN
1,The employees staffed the store.,IN
1,The president appointed Smith press secretary.,IN
0,The agency classified.,IN
1,Bill coughed out the window.,IN
1,I believed that the sun was out.,IN
1,Every boy named Mercury and Venus.,IN
0,Andy promised us to go.,IN
1,He remained a good friend to me.,IN
1,John is taller than Bill by that much.,IN
1,There are many fish in the sea.,IN
0,Bill left when I am looking at a girl who vomited.,IN
0,the box contains little tool.,IN
1,John is running to the car.,IN
0,He replied his answer.,IN
1,Clyde got a passionate love letter from Stacy.,IN
1,This Government have been more transparent in the way they have dealt with public finances than any previous government.,IN
1,This should be attended to immediately.,IN
1,John learned French immediately.,IN
0,The window broke from hail stones.,IN
1,"Raffi makes pesto pasta, and David does too",IN
1,I like Anson,IN
1,"Ron failed biology, unfortunately",IN
0,The child is impossible to teach him.,IN
1,"That Betsy won the batting crown is not surprising, but that Peter didn't know she did is surprising.",IN
1,The birds devour the worm.,IN
1,Melissa searched for a clue in the papers.,IN
1,The woman believed that the man who was here was ill.,IN
0,Any lion is rare.,IN
0,"This is the problem that you'll beat the competition more easily, the sooner you solve.",IN
1,Jean is reluctant.,IN
1,I asked Mike if he had seen the Yeti.,IN
1,I enjoy taking a bath.,IN
1,Can Mary win the race and will Sue win the race too?,IN
0,John promised Mary to shave herself.,IN
1,He will can go,IN
1,"My sister arrived at a time when no buses were running, and my brother arrived at a time when no buses were running too.",IN
1,The rod bent.,IN
1,Who do you think you saw?,IN
1,The water melted into ice.,IN
1,"If so, I've lost $500.",IN
1,Felicia kicked the ball out the window.,IN
1,He failed chemistry because he can't understand it.,IN
1,Who did Gilgamesh believe to have kissed Aphrodite?,IN
1,Cheryl stood the books on the table.,IN
1,Who believes anything that who says?,IN
1,I know how fast you ran.,IN
1,"The more people arrive, the louder it gets.",IN
1,"Bob is very serious about Mary, but less so than Paul.",IN
1,We knew John to be the murderer.,IN
1,You have presented so elegant a solution that we can only admire it.,IN
1,"I don't think Fred will, either.",IN
1,Every reading of Shakespeare satisfied me,IN
0,Mary persuaded to leave John.,IN
1,Tom drives like that man.,IN
1,"The more pictures of himself that appear in the news, the more embarrassed John becomes.",IN
0,"Every cat doesn't like mice, but Felix doesn't.",IN
1,Is Mary running the marathon?,IN
1,Every student who handed in some homework will get a prize.,IN
1,No one knows how to tell from a good beer to a bad one.,IN
1,He will put the chair between some table and some sofa.,IN
1,Martha carved a toy out of a piece of wood for the baby.,IN
1,The guests drank the teapot dry.,IN
1,"Once Janet left, Fred became far crazier.",IN
1,The branches knocked against the wall.,IN
1,Humans love to eat some disgruntled old pigs in those ditches.,IN
1,How happy has John been?,IN
1,George gave Jessica the book.,IN
0,Julie maintained if the barman was sober.,IN
1,Bees are swarming in the garden.,IN
1,Smith inscribed his name over the door.,IN
1,This girl in the red coat will put a picture of Bill in the mailbox before tomorrow.,IN
0,Which language do you want to hire someone who speaks?,IN
1,I assume the matter to have been filed in the appropriate records.,IN
0,The monkeys kept forgotten their lines.,IN
1,Carla shoveled the snow from the walk.,IN
1,That it was obvious that it would confuse the guards for Herschel to throw a fit is not true.,IN
1,Sasha is gobbling down dumplings faster than I can reheat them.,IN
1,John told Mary to kiss him.,IN
1,Cotton clothes dry easily.,IN
1,Nora pushed through the crowd.,IN
0,I gave Jack Ed's picture of myself.,IN
1,the book of poems with a red cover and with a blue spine takes a very long time to read.,IN
0,John is prouder of having gone than John expected nobody to believe he would be.,IN
1,I hunted the secret out of him.,IN
1,The jeweller printed the name under the picture.,IN
0,What Mary donated was a lot of money to NPR.,IN
0,The president declared Smith as press secretary.,IN
1,It was the director that she wants to meet.,IN
0,They said him to be rich.,IN
1,Who has seen my snorkel?,IN
1,Almost no lawyer could answer that question.,IN
0,The his jobs are in jeopardy.,IN
1,What Mary prefers is her ice cream in a cone.,IN
1,I had hoped that it was true that Rosa Luxemburg had actually defected to Iceland for many years.,IN
1,Heidi said that pictures of herself were embarrassing.,IN
0,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.",IN
0,She kicked itself,IN
0,I've known more of a man than Frank.,IN
1,The sheep got infected with scrapie.,IN
1,John wants him to leave.,IN
0,Jason intended for he to learn magic.,IN
1,Benjamin gave the cloak 0 and sent the book to Lee,IN
1,I am not going.,IN
0,John tried Bill to play checkers.,IN
1,John was lots more obnoxious than Fred was.,IN
0,"The contestant, who is the judge's brother-in-law, who won the first prize sang dreadfully.",IN
0,Bill understands Mary and himself.,IN
1,The sheriff denied that gangsters had bribed him.,IN
1,Jean persuaded Brian to leave.,IN
1,He was talkative.,IN
1,"The harder it rains, how much faster do you run?",IN
1,Chris was handed a note.,IN
1,Cancer is now thought to be unlikely to be caused by hot dogs.,IN
0,The scissors is lost,IN
1,Emma made Harriet her friend.,IN
1,Bartlett and Toni danced.,IN
1,"During the early evening, Saturn can be found in the north, while Jupiter rises in the east.",IN
1,I have six too many marbles.,IN
1,"Harry thinks that Sally is innocent, although no one else thinks so.",IN
1,He gave that girl my binoculars.,IN
0,I brought John a razor to shave myself with.,IN
1,That he is coming is clear.,IN
0,The fence hits easily.,IN
1,"Tom, Dick, and Harry know it.",IN
1,I know.,IN
0,I lent Tony the book all the way.,IN
0,Five pounds are a lot of money.,IN
1,"In the classroom, the teacher praised John, whom I also respect.",IN
1,I saw these dancers and those musicians smoking something.,IN
1,Any owl hunts mice.,IN
0,"Sally explained the attempt to arrest Holly, but only after I had denied the decision to.",IN
1,"John gave Mary, and Joan presented to Fred, books which looked.",IN
1,"If we invite some philosopher, Max will be offended.",IN
1,I praised Mary.,IN
0,Joe is taller than I think Mary.,IN
1,Computer viruses increased in virulence last year.,IN
1,The gardener watered the flowers flat.,IN
1,We expect them to examine themselves.,IN
1,Her family is all avid skiers.,IN
1,I consider there to be a man in that garden.,IN
0,I detached the handle and the box apart.,IN
1,the box we put the books in is sealed.,IN
1,A crowd of people remained in the square.,IN
0,John sounded in the park.,IN
1,That we invaded Iraq really creeps me out.,IN
0,"After reading the pamphlet, Judy threw them into the garbage can.",IN
1,They believe Charles Darwin's theory of evolution is just a scientific theory.,IN
0,"Every student, who attended the party, had a good time.",IN
1,In no other circumstances does that distinction matter.,IN
1,Every man lifted a table.,IN
0,I destroyed there.,IN
1,The stream crawls through the valley.,IN
1,Mary sent a book to Bill.,IN
1,The cat put her catnip toy on the plastic mat.,IN
1,So much did you eat that everyone gasped.,IN
0,Carla shoveled the walk of snow.,IN
1,Paula swatted at the fly.,IN
1,We talked about the fact that he was sick for days.,IN
1,I've never known as strong a person as Louise.,IN
1,I washed you.,IN
1,The only travelers who anybody has ever robbed don't carry machetes.,IN
1,We rummaged through the desk for papers.,IN
1,The pliers bent the rod.,IN
1,What Mary offered to him is unclear.,IN
0,"Who had Poseidon run away, before the executioner murdered?",IN
1,Betsy loves herself in blue leather.,IN
1,She kicked her,IN
1,Teresa bottle fed the baby.,IN
0,Who did he expect who I was acquainted with to show up?,IN
1,I believed the claim that Otto was wearing this hat.,IN
1,He can hardly believe that it's already over.,IN
1,I broke the twig and the branch apart.,IN
1,Lee will never leave.,IN
1,The money that you gave me disappeared last night.,IN
1,Paula hit at the fence.,IN
1,I never liked his analysis.,IN
1,Fanny had just stopped talking when in came Aunt Norris.,IN
0,How do you wonder who could solve this problem.,IN
1,They read the new book.,IN
1,Sandy sang.,IN
0,John offers few advice.,IN
1,Nothing like that would I ever eat again.,IN
1,Mary jumped the horse over the last fence perfectly.,IN
1,Birds fly.,IN
0,Sam may have been being interrogating by the FBI.,IN
0,The fence hit.,IN
1,There exists a solution to this problem.,IN
1,The army destroyed the palace.,IN
1,Bill reading Shakespeare satisfied me,IN
1,They kicked themselves,IN
1,I love but you hate ice milk tea.,IN
1,I ordered John drink his beer.,IN
0,John learned French immediately perfectly.,IN
0,"Near everyone Angleton did, Dulles stood.",IN
0,We kicked us,IN
0,A bicycle lent to me.,IN
0,I inquired John to like his beer.,IN
1,Fred talked about everything before Rusty did.,IN
0,Who did you wonder whether came?,IN
1,No one understands that phrase structure rules explain the little understood phenomenon of the infinite length of sentences.,IN
0,Linda winked his eye.,IN
1,They represented Mary to the dean as a genuine linguist.,IN
1,The medal was given to the soldier.,IN
1,I am hoping that the weather is lovely today.,IN
0,John knows whose book Mary bought and Tom talked.,IN
1,He said that that ` that ' that that man used was wrong.,IN
1,Jessica sprayed paint onto the table.,IN
1,How many strings did you say she had to pull in order to do that?,IN
1,"To improve himself, Bruce should consider therapy.",IN
0,The hot potato had several hundred people yelling for me to put it down gently.,IN
1,Be very clever.,IN
0,The bicycle gave to me.,IN
0,Carol carved the tree on the branch.,IN
0,John had an error in the proof Sarah presented.,IN
1,Carrie touched him on the shoulder.,IN
0,Who does Phineas know a girl jealous of?,IN
1,Mary saw the tall man come from the back.,IN
0,"It isn't because Sue said anything bad about me that I'm angry, although she did say some bad things about me.",IN
0,I've seen as much of a coward as Frank.,IN
1,John has a hole in the upper right-hand corner of his quilt.,IN
1,The eggs and the cream mixed together.,IN
1,I've got to try and find that screw.,IN
1,I saw him leaving the main building.,IN
0,"The more people everyone who likes pays attention to, the happier we all are.",IN
1,"The book, including all the chapters in the first section, is very interesting.",IN
0,I assumed to be innocent,IN
1,Wendy's mother country is Iceland.,IN
1,Any pilot could be flying this plane.,IN
1,I wanted Jimmy for to come with me.,IN
0,The monkey eager to leave the meeting.,IN
1,I wonder what John bought how.,IN
0,She's just enough tall.,IN
1,Jim was happily chopping logs.,IN
1,That Chris knew the answer occurred to Pat.,IN
0,The magician appeared a dove from his sleeve.,IN
1,Harry coughed himself into a fit.,IN
0,Fred gave the ball behind Molly.,IN
1,it mattered on Sunday.,IN
0,Medea exclaimed if the potion was ready,IN
1,Perseus saw the Gorgon in his shield.,IN
0,"The more articles he reads, the fewer people he thinks that will go into linguistics.",IN
1,Mary gets depressed if she listens to the Grateful Dead.,IN
1,He let the cats out which were whining.,IN
1,The men would have been all working.,IN
0,I do not have sung.,IN
1,I have hopes the company will squander the money.,IN
1,Many soldiers have claimed bottled water satisfies thirst best.,IN
1,Mary considered John to have loved her.,IN
1,That they have completed the course is amazing.,IN
1,When did he say that he was fired?,IN
0,I found there.,IN
1,Alison poked the cloth.,IN
0,Which rebel leader did you hear Cheney's rumor that the CIA assassinated?,IN
1,Where did you send the package?,IN
1,Jane was playing the piano.,IN
1,"I spoke to him about the war yesterday, that guy who's always following us.",IN
1,Mary jumped the horse perfectly over the last fence.,IN
1,The clever snake disappeared into a hole in the ground.,IN
1,The jockey rides the horse.,IN
0,He has will seeing his children.,IN
0,There arrived by Medea.,IN
0,1 put the book after the party on the table.,IN
1,You may pick every flower.,IN
0,The teacher handed the student.,IN
1,Where Alison and David soaked their feet was in the kitchen,IN
1,John is taller than Bill.,IN
0,Bill pushed Harry off the sofa for hours.,IN
1,Brown equipped Jones with a camera.,IN
0,The cottage which did Mrs Dashwood accept was rather small.,IN
1,It hung on the wall.,IN
1,Gilgamesh has not been reading the cuneiform tablets,IN
1,Bill's mother's friends and John are waiting at the restaurant.,IN
1,Ellen and Helen talked.,IN
0,I can well imagine quickly Mary answering the question.,IN
0,The shock flinched Sharon.,IN
1,He is John.,IN
0,I handed the ball.,IN
0,On the line there are drying a lot of clothes.,IN
1,He gave my binoculars to that girl.,IN
0,That she loved him and it was painfully evident that he loved another.,IN
0,I believed she is pregnant,IN
0,They believe Stephen to be easy to annoy Ben.,IN
1,The prison cell was escaped by the terrorist.,IN
0,I washed yourself.,IN
0,David constructed me a house.,IN
1,how many have you given of these books to these people.,IN
1,It is likely that Tami will leave New York.,IN
1,I know two men behind me.,IN
1,John heard that I criticized myself.,IN
1,This is a hat which I'm going to see that my wife buys.,IN
0,The bears sniffs,IN
1,Tom says that it's going to rain but I don't believe it.,IN
1,An ancient treasure trove was found in this cave.,IN
1,The piano kicked a student.,IN
1,"Because she had got the highest marks, Medea was happy",IN
0,Paula spanked her right hand into the naughty child.,IN
1,Here's a knife for you to cut up the onions with.,IN
1,Why did you kill Pegasus?,IN
0,To whom the book did you give.,IN
0,Brown equipped a camera at Jones.,IN
1,Physicists like yourself are a godsend.,IN
1,Which report that John revised did he submit?,IN
1,Every student who wins any trophy displays it in a prominent place.,IN
1,I love the food they cook in the halls of residence.,IN
0,They will give me a hat that I won't like which I know.,IN
0,Give the bottle to the baby awake.,IN
1,The jeweller inscribed the ring with the name.,IN
1,The pudding which the man who ordered ice cream said would be tasty was a horror show.,IN
1,Who are you gawking at?,IN
1,Andrew likes lard on his sandwiches,IN
1,"After John comes home, will Sally take a shower?",IN
1,He got what he wanted.,IN
0,They disappeared their way off the stage.,IN
1,The little cat devoured a mouse last night.,IN
1,I explained how we should fix the sink.,IN
1,The fact that the scientists used the latest technology to verify was reported at the recent conference.,IN
1,The socks are ready for you to try them and the shoes on.,IN
1,The piano which I disliked the boy's playing loudly was badly out of tune.,IN
1,John said Mary went to the store quickly.,IN
1,Different teams beat the Red Sox and were beaten by the Giants.,IN
1,Maxwell isn't half the doctor that his father was.,IN
0,Who do you believe that invited Sara?,IN
1,It's the second Monday that we get back from Easter.,IN
1,Frank hopes to persuade Harry to make the cook wash the dishes.,IN
0,Louis begged Kate to shave himself.,IN
1,What I love is toast and sun dried tomatoes,IN
1,This window just opens itself.,IN
1,"He coughed awake and we were all overjoyed, especially Sierra.",IN
1,Who has drunk the poison?,IN
1,Pat has become a banker and very conservative.,IN
0,"They, they can't stand each other.",IN
1,The horse jumped the stream.,IN
1,They rowed.,IN
1,the book of poems with a red cover by Robert Burns from Blackwell takes a very long time to read.,IN
1,He waltzed her across the floor.,IN
1,John read the book loudly.,IN
0,George built the houses both.,IN
1,I saw all the students.,IN
0,"The fact, I put it down to that Kim came.",IN
1,The question of whether John met Mary worries the people who support.,IN
1,I said that.,IN
1,The witch turned him from a prince into a frog.,IN
1,Mary told Bill that John was elected.,IN
1,Some professor admires every student and hates the dean.,IN
1,Bill squeezed the puppet through the hole.,IN
1,It is to the best students that he gives this book.,IN
1,Waldo didn't report that anyone had left.,IN
1,Nora sent the book from Paris to London.,IN
1,Mary believed John to have loved her.,IN
1,Lora buttered the toast with unsalted butter.,IN
1,I presented a solution yesterday.,IN
1,Mary is faster than John is.,IN
0,"It's we go to the meeting, that Sally will tell us when.",IN
1,Being lovely to look at has its advantages.,IN
0,Medea tried her to leave.,IN
1,The soldiers lodged in the schoolhouse.,IN
0,I read him Judy's statement about himself.,IN
1,"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library.",IN
1,"John coughed awake, rubbing his nose and cursing under his breath.",IN
1,A rabbit appeared out of the magician's hat.,IN
1,John scratched his arm and Mary did too.,IN
0,Mary runs often the marathon.,IN
1,John taught new students English Syntax.,IN
0,It tried to rain.,IN
1,Smith was scribbling his notes.,IN
0,Mary believed his to have loved her.,IN
1,The luscious chick who Billy went to the movies with will wed me ere the morn.,IN
1,The children like to berry in the summer.,IN
1,People from Tucson think very highly of themselves.,IN
1,That Bill tried to discover which drawer Alice put the money in made us realize that we should have left him in Seoul.,IN
0,Odysseus attempted Odysseus to hear the sirens.,IN
0,That monkeys is eating the banana.,IN
1,There was found in this cave an ancient treasure trove.,IN
1,The horse jumped over the stream.,IN
1,John wants to find a solution better than Christine's.,IN
1,Can Fiona eat sauteed candy canes?,IN
0,The cat that the dog that the rat bit chased died.,IN
1,John kicked him.,IN
1,Pat has become a Republican.,IN
1,Did Merv show up and did you play chess?,IN
1,Carol carved the stone.,IN
0,The boys were made a good mother by Aunt Mary.,IN
0,Which boy and the girl embraced?,IN
1,I considered Fred crazy.,IN
1,Have you ever visited Doubtful Sound?,IN
1,Has Jenny eaten a cake?,IN
1,Many flags fluttered over the fort.,IN
1,John saw Mary.,IN
0,"Any student, who wears socks, is a swinger.",IN
1,In the church sang a choir.,IN
1,In front of them happen.,IN
1,Every poodle gives live birth.,IN
1,Many people drink beer or wine.,IN
1,They have no car.,IN
1,to leave so soon would be inconvenience.,IN
1,John was driving the car.,IN
1,The man on whose lap the puppet is sitting is ventriloquist.,IN
1,That was why she looked so nice.,IN
0,Mary believes that Bill saw herself.,IN
1,The secretary transcribed the speech into the record.,IN
0,"With their teacher, the kids have arrived safely, hasn't he?",IN
0,Him book,IN
1,That bottle of water might have cracked open.,IN
1,These stories about himself worry John more than anything else.,IN
0,This building is taller and taller.,IN
1,Ellen warned that melons were selling.,IN
1,Alex was eating the popsicle.,IN
1,Barbara handed the intriguing results of the latest examination to Alan on Tuesday.,IN
1,Hei is easy to please i.,IN
0,The hiker will reach the top of the mountain for an hour.,IN
0,Paula swatted the cloth on the fly.,IN
1,John met a student in the park.,IN
0,Susan gave the ball halfway to Bill.,IN
0,Water pours easily onto the plants.,IN
1,Margaret cut Bill on the arm.,IN
1,"As John eats more, keep your mouth shut tighter, OK?",IN
1,"I threw the ball to Julian, but it fell short of him.",IN
1,The truck rumbled into the driveway.,IN
0,Carrie touched the stick into the cat.,IN
1,Who is reading a book that criticizes who?,IN
0,the easily student finished his homework.,IN
1,What did he reply?,IN
0,This hat I know the boy who was wearing.,IN
0,I've never seen the taller man than my father.,IN
1,A motorist has reported that the road is blocked by snow at Bunker Hill.,IN
1,"Every senator becomes more corrupt, the more lobbyists he talks to.",IN
1,Let's walk.,IN
1,I ate some popcorn and drank some soda.,IN
0,Ellen conferred Helen.,IN
0,Order one first is what you should do.,IN
1,Aphrodite said he freed the animals and free the animals he did,IN
0,"The more he reads, the more books I wonder to whom he will give.",IN
1,A tall boy threw the ball.,IN
1,What John told us is that he wants to quit school.,IN
1,He's as reliable a man.,IN
0,"I demand that the more John eat, the more he pay.",IN
1,"If the telephone rang, it could ring itself silly.",IN
0,"Because Dr Jones ate too much rich food didn't he, he died of apoplexy.",IN
1,The car collided with the fence.,IN
1,I've been at work for six hours.,IN
0,We yelled Harry hoarse.,IN
1,"Keep your mouth shut tighter, the more John eats, OK?",IN
1,I bought you a ticket for $5.,IN
1,The latest research on dieting always warns people about the dangers of too much cholesterol.,IN
1,The crown sparkled with jewels.,IN
0,Confiscate any of this liquor.,IN
1,The princess bowed.,IN
1,Mary is such a wit that people are afraid of her.,IN
1,Anson became the Mayor,IN
0,She held at the rail.,IN
0,Here's a razor for you to chop up these nuts with this cleaver and.,IN
1,They have no information.,IN
1,I gave to the officer in charge the blackjack. which I had found in the cookie jar.,IN
1,much equipment is needed.,IN
0,Ellen told a story at Helen.,IN
1,There seemed to be a fountain in the park.,IN
1,Heidi thinks that Andy is eating salmon flavored candy bars.,IN
1,John knew any language that we encountered on our trip.,IN
0,Us love their.,IN
1,What she did was e-mail all her friends.,IN
1,John asked if the unflattering description of his work would be published in the paper.,IN
1,The process changed the substance from solid to liquid to gas to energy.,IN
1,"The more that you eat, the less that you want.",IN
1,There is likely to be a letter in the mailbox.,IN
0,The socks are ready for you to try and the shoes on.,IN
1,I asked if Medea poisoned Jason.,IN
0,What do you remember where we bought?,IN
0,Which god the statue?,IN
1,My brother lives near Strasbourg.,IN
1,Day by day the facts are getting murkier.,IN
0,The director sparkled the lights.,IN
1,"They spoke to the janitor about that robbery yesterday, the cops.",IN
0,I dislike his tickling myself.,IN
1,A boy did not laugh.,IN
1,"John hummed, and Mary sang, at equal volumes.",IN
1,Wash yourselves.,IN
0,Megan loves.,IN
1,He is believed by John to have been at the game.,IN
1,Cornelia lodged at Mrs. Parker's.,IN
0,He would can go,IN
0,I funneled the mixture.,IN
1,For John either to make up such a story or to repeat it is outrageous.,IN
1,When Alison and David soaked their feet was after dinner,IN
1,I weighed the package.,IN
0,He's a that reliable man.,IN
1,He is proud of his son's passing the bar exam.,IN
0,The house is been remodeling.,IN
0,Gilgamesh might have not been reading the cuneiform tablets.,IN
0,Books send easily to children.,IN
1,What I've always tended to do is to do my own stretches at home.,IN
1,We kicked ourselves,IN
0,Mary is more than five feet short.,IN
1,People are said to do such crazy things at such high speeds there by Dorothy that I am getting skeptical.,IN
1,"He told Peter that I know a taller man than John, but Peter didn't believe it.",IN
0,It seems to be a fountain in the park.,IN
1,What exploded when?,IN
0,I'm sadder than I'm angry.,IN
1,Jason would prefer for Medea to have cursed Agamemnon.,IN
1,The dentist was persuaded to examine Pat.,IN
1,Did you see Mary?,IN
0,There was he in the garden.,IN
0,A man to be in the garden is unlikely.,IN
1,Tony broke her arm.,IN
1,Some sentences can go on and on and on and on.,IN
1,John will have enthusiastically been eating cake.,IN
0,Hole into disappeared ground the the in clever a little.,IN
0,"While Rusty might leave in order to please Mag, he won't his father.",IN
1,Tabs are likely to be kept on participants.,IN
1,Bill will put a picture of her on your desk before tomorrow.,IN
1,I spoke to Bill about himself.,IN
0,The hardest that all the power lines were down and it snowed was last January 12th.,IN
1,The dog that the rat bit chased the cat.,IN
1,"I'd planned to have finished, and finished I have",IN
1,"Ron's likely to be on the Web, isn't he?",IN
1,Which pictures of himself did Chris like?,IN
1,Carol cut the bread with a knife.,IN
1,Kelly buttered the bread with unsalted butter.,IN
0,"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",IN
1,The government kept all the money.,IN
1,John gave the boys the CDs.,IN
0,"He seems to become more corrupt, if every senator talks to more lobbyists.",IN
1,I screamed at some children watching me.,IN
0,The one whose I stole bike was John's.,IN
0,What did you say I went and get?,IN
1,To whom did you give the ball?,IN
1,They believe that Charles Darwin's theory of evolution is just a scientific theory.,IN
1,Louis begged Kate that he be allowed to shave himself.,IN
1,Proud of him I've never been.,IN
1,I separated the egg yolks and the egg whites.,IN
0,the man standing over there's the hat impressed me greatly.,IN
0,We elected guardian's employer president the boy.,IN
1,The trail we walked today was built by slave labor.,IN
1,Frank bought something for Jane.,IN
1,"The more Fred is obnoxious, the less you should pay attention to him.",IN
0,Here's a razor for that you will be shaved with to be announced.,IN
1,Traci gave the whale a lollipop.,IN
1,I am anxious that you should arrive on time.,IN
1,I've got to both try and find that screw.,IN
1,John believed it.,IN
1,The exhibition really impressed the critics.,IN
1,John's mother sent a letter to Mary.,IN
1,The cat had been eating.,IN
1,much advice is needed.,IN
1,Lenin believes the Tsar to be a power hungry dictator.,IN
0,Medea tried Medea to poison her children.,IN
1,It is obvious that John is a fool.,IN
1,John is no more reliable a fellow than Bill.,IN
0,I like Mary and she does too.,IN
1,He will indeed endorse the treaty.,IN
1,Does Joe sing?,IN
1,John talked to everybody who came up to him at the party.,IN
1,They specialized.,IN
0,John seems will win.,IN
0,"Frantically at, Anson danced extremely Trade",IN
1,"If he has to wait, John gets angry.",IN
1,I'm surprised we had any potatoes.,IN
1,"Two inspectors from the INS appeared, arrived, remained, emerged.",IN
0,Mary noticed that John excessively appreciates herself.,IN
1,for discussion of the same phenomenon in Russian.,IN
0,The store staffed with employees.,IN
1,Ellen and Helen talked together.,IN
0,Either Professor Swansong or the graduate students is going to proctor the exam.,IN
1,I herded the cattle.,IN
1,Paying taxes can't be avoided.,IN
1,Who do you think Hobbs imagined Mary said Tom saw?,IN
1,The accountant was sitting at her desk.,IN
1,Burn letters to him!,IN
1,Enthusiastic golfers with large handicaps can be good company.,IN
1,The bird devours the worm.,IN
1,My brother likes collecting jazz records.,IN
0,This truck spread fewer salt than that one.,IN
1,Memo ate the spaghetti.,IN
0,The student known the answers.,IN
0,The capital was gathered near by a crowd of people.,IN
1,Donna fixed me a sandwich.,IN
0,Which poem did you hear those recitals of last night?,IN
0,Amanda drove at the package to New York.,IN
1,Jason gave the poisoned clothes to who?,IN
1,I made it my objective to settle the matter.,IN
0,"They let him go yesterday, him.",IN
0,Jonathan persuaded Kate to lick himself.,IN
1,Cheryl stood the books on the shelf.,IN
1,The quiche and I were cooking.,IN
1,The girl he met at the departmental party will very surely call him.,IN
1,The man chuckles,IN
1,My niece could write me letters before her third birthday.,IN
0,Mira condemned the accident on Terry.,IN
1,"Fluffy is sick, which few people realize.",IN
0,Bill reading Shakespeare and Maureen singing Schubert satisfy me,IN
1,How much of the fresco did the flood damage?,IN
0,This building got than that one.,IN
1,I will have eaten the beef waffles.,IN
1,A philosopher is sometimes wrong.,IN
1,They prefer for Mary to leave.,IN
1,Enough is going on to keep them confused.,IN
0,I think for John to like his beer.,IN
1,I have wanted to meet for many years the man who spent so much money planning the assassination of Kennedy.,IN
1,The boys don't all want to leave.,IN
1,This girl in the red coat will put a picture of Bill on your desk.,IN
0,Bill reading of Shakespeare satisfied me,IN
1,Teresa bottle fed soy milk to the baby.,IN
0,This girl in the or on the red coat will put a picture of Bill on your desk.,IN
0,Jake sent the box towards Carson.,IN
1,Tucson is a great place to live.,IN
0,He's a fool enough to try it.,IN
1,Carla hit Bill's back.,IN
1,Did you believe him to ever have made an effort to talk to the student?,IN
1,My nephew could write letters to his parents with a fountain pen with your help.,IN
1,Sasha lingered over lunch.,IN
1,Kim may have admitted to let Mary mow the lawn.,IN
0,I've never seen the one taller man than my father.,IN
0,Who did Kim work for and Sandy rely on Mary?,IN
1,Ron definitely has bought a dog.,IN
1,There is only one chemical substance involved in nerve transmission.,IN
0,The man I saw shaved myself.,IN
